iter	Passed	Remaining
179	2132	9715
180	2146	9711
181	2159	9705
182	2161	9650
183	2174	9642
184	2187	9636
185	2201	9632
186	2202	9576
187	2215	9569
188	2229	9565
189	2243	9563
190	2256	9556
191	2269	9551
192	2283	9547
193	2297	9544
194	2310	9537
195	2323	9532
196	2337	9528
197	2351	9525
198	2364	9518
199	2378	9513
200	2392	9508
201	2395	9461
202	2399	9420
203	2413	9415
204	2426	9411
205	2440	9405
206	2453	9399
207	2466	9393
208	2480	9386
209	2494	9383
210	2507	9376
211	2521	9371
212	2534	9365
213	2548	9359
214	2562	9355
215	2564	9308
216	2578	9302
217	2592	9298
218	2605	9291
219	2618	9285
220	2632	9280
221	2646	9276
222	2661	9273
223	2674	9264
224	2687	9258
225	2701	9253
226	2715	9245
227	2716	9197
228	2730	9193
229	2744	9188
230	2757	9180
231	2771	9175
232	2773	9130
233	2786	9122
234	2789	9079
235	2802	9071
236	2815	9064
237	2828	9057
238	2842	9050
239	2854	9040
240	2868	9032
241	2882	9029
242	2895	9021
243	2910	9017
244	2924	9010
245	2937	9004
246	2951	8996
247	2964	8988
248	2977	8980
249	2991	8973
250	3004	8965
251	3017	8958
252	3031	8950
253	3045	8943
254	3059	8937
255	3072	8930
256	3086	8923
257	3099	8913
258	3112	8905
259	3125	8897
260	3127	8854
261	3140	8845
262	3153	8836
263	3166	8826
264	3178	8816
265	3191	8807
266	3204	8796
267	3216	8785
268	3228	8773
269	3241	8762
270	3253	8752
271	3266	8741
272	3278	8730
273	3290	8719
274	3302	8707
275	3314	8694
276	3327	8684
277	3339	8673
278	3351	8660
279	3363	8649
280	3375	8637
281	3388	8626
282	3399	8613
283	3412	8602
284	3425	8593
285	3437	8582
286	3450	8571
287	3462	8559
288	3474	8547
289	3487	8538
290	3499	8527
291	3511	8513
292	3522	8500
293	3534	8487
294	3546	8476
295	3559	8464
296	3571	8453
297	3583	8441
298	3595	8428
299	3607	8416
300	3620	8407
301	3631	8394
302	3644	8382
303	3657	8372
304	3668	8359
305	3680	8347
306	3693	8337
307	3705	8324
308	3717	8312
309	3730	8302
310	3742	8292
311	3754	8280
312	3766	8267
313	3777	8253
314	3789	8241
315	3801	8229
316	3814	8218
317	3827	8207
318	3838	8195
319	3852	8185
320	3864	8175
321	3877	8164
322	3891	8156
323	3905	8147
324	3916	8134
325	3928	8122
326	3940	8109
327	3952	8098
328	3964	8085
329	3975	8072
330	3989	8063
331	4001	8050
332	4013	8038
333	4024	8025
334	4036	8011
335	4049	8002
336	4060	7988
337	4073	7977
338	4086	7967
339	4098	7956
340	4110	7943
341	4122	7931
342	4134	7919
343	4146	7906
344	4158	7896
345	4170	7883
346	4182	7870
347	4195	7860
348	4207	7849
349	4220	7838
350	4234	7828
351	4245	7815
352	4257	7802
353	4268	7790
354	4280	7777
355	4291	7763
356	4303	7750
357	4314	7737
358	4326	7725
359	4337	7711
360	4349	7699
361	4361	7686
362	4373	7674
363	4385	7661
364	4396	7649
365	4408	7636
366	4420	7624
367	4433	7613
368	4446	7602
369	4457	7590
370	4469	7577
371	4482	7567
372	4495	7556
373	4507	7544
374	4518	7531
375	4532	7521
376	4544	7510
377	4557	7499
378	4570	7488
379	4583	7478
380	4595	7465
381	4607	7454
382	4621	7444
383	4634	7434
384	4650	7428
385	4651	7399
386	4665	7389
387	4677	7378
388	4690	7367
389	4691	7338
390	4702	7324
391	4715	7313
392	4727	7301
393	4738	7288
394	4750	7275
395	4761	7262
396	4773	7249
397	4785	7237
398	4798	7227
399	4811	7217
400	4824	7206
401	4836	7194
402	4849	7184
403	4861	7172
404	4873	7159
405	4885	7148
406	4898	7137
407	4910	7125
408	4922	7113
409	4935	7102
410	4949	7092
411	4962	7082
412	4976	7072
413	4988	7061
414	5001	7050
415	5015	7041
416	5027	7029
417	5041	7020
418	5053	7007
419	5065	6995
420	5077	6983
421	5081	6959
422	5093	6947
423	5106	6936
424	5119	6927
425	5120	6900
426	5132	6887
427	5144	6874
428	5157	6864
429	5168	6851
430	5181	6839
431	5192	6827
432	5194	6801
433	5207	6791
434	5219	6778
435	5231	6767
436	5243	6755
437	5255	6743
438	5266	6730
439	5279	6719
440	5291	6707
441	5306	6699
442	5320	6689
443	5333	6678
444	5346	6667
445	5359	6657
446	5371	6645
447	5382	6632
448	5394	6619
449	5406	6607
450	5417	6595
451	5429	6582
452	5441	6570
453	5454	6560
454	5466	6548
455	5478	6535
456	5489	6522
457	5502	6511
458	5515	6501
459	5529	6490
460	5540	6478
461	5552	6465
462	5564	6454
463	5576	6442
464	5588	6430
465	5600	6417
466	5614	6407
467	5626	6395
468	5642	6388
469	5657	6379
470	5669	6367
471	5682	6356
472	5693	6343
473	5706	6332
474	5719	6321
475	5732	6310
476	5743	6297
477	5755	6285
478	5768	6273
479	5780	6261
480	5791	6249
481	5803	6237
482	5805	6214
483	5806	6190
484	5818	6178
485	5830	6166
486	5842	6153
487	5853	6141
488	5865	6129
489	5877	6116
490	5888	6104
491	5901	6093
492	5914	6082
493	5927	6071
494	5939	6059
495	5950	6046
496	5962	6034
497	5968	6016
498	5980	6004
499	5982	5982
500	5983	5959
501	5995	5947
502	6006	5934
503	6019	5923
504	6030	5911
505	6042	5898
506	6055	5888
507	6068	5876
508	6069	5855
509	6081	5843
510	6093	5830
511	6104	5818
512	6106	5796
513	6118	5785
514	6131	5774
515	6143	5762
516	6154	5749
517	6156	5728
518	6168	5716
519	6179	5704
520	6191	5692
521	6202	5679
522	6214	5667
523	6225	5655
524	6237	5643
525	6249	5631
526	6261	5619
527	6272	5607
528	6284	5595
529	6297	5584
530	6309	5572
531	6321	5560
532	6333	5548
533	6335	5528
534	6346	5516
535	6359	5504
536	6370	5492
537	6381	5480
538	6393	5468
539	6406	5457
540	6419	5446
541	6431	5434
542	6443	5422
543	6455	5410
544	6466	5398
545	6468	5378
546	6480	5366
547	6492	5354
548	6506	5344
549	6517	5332
550	6529	5320
551	6541	5309
552	6553	5297
553	6555	5277
554	6566	5265
555	6578	5252
556	6589	5240
557	6601	5229
558	6614	5217
559	6629	5208
560	6643	5198
561	6655	5186
562	6667	5175
563	6680	5164
564	6692	5152
565	6704	5141
566	6716	5129
567	6729	5117
568	6741	5106
569	6753	5094
570	6764	5082
571	6775	5070
572	6787	5057
573	6798	5045
574	6810	5033
575	6822	5022
576	6834	5010
577	6846	4998
578	6858	4986
579	6869	4974
580	6880	4962
581	6893	4950
582	6905	4939
583	6918	4928
584	6929	4915
585	6942	4904
586	6954	4892
587	6965	4880
588	6977	4869
589	6990	4857
590	7002	4846
591	7014	4834
592	7027	4822
593	7040	4812
594	7053	4801
595	7067	4790
596	7081	4780
597	7094	4769
598	7111	4760
599	7113	4742
600	7128	4732
601	7143	4722
602	7159	4713
603	7174	4703
604	7189	4693
605	7204	4684
606	7219	4674
607	7232	4663
608	7246	4652
609	7259	4641
610	7272	4630
611	7273	4611
612	7287	4600
613	7301	4590
614	7315	4579
615	7328	4568
616	7343	4558
617	7358	4548
618	7372	4537
619	7386	4527
620	7400	4516
621	7413	4505
622	7427	4494
623	7429	4476
624	7442	4465
625	7455	4454
626	7470	4444
627	7484	4433
628	7499	4423
629	7511	4411
630	7525	4400
631	7539	4389
632	7552	4379
633	7567	4368
634	7580	4357
635	7594	4346
636	7607	4335
637	7622	4324
638	7635	4313
639	7650	4303
640	7654	4287
641	7668	4276
642	7681	4264
643	7694	4253
644	7696	4236
645	7711	4225
646	7724	4214
647	7738	4203
648	7752	4192
649	7767	4182
650	7782	4171
651	7795	4160
652	7809	4150
653	7823	4138
654	7837	4128
655	7852	4117
656	7866	4106
657	7880	4096
658	7895	4085
659	7908	4074
660	7922	4062
661	7935	4051
662	7948	4040
663	7962	4029
664	7976	4018
665	7989	4006
666	8003	3995
667	8018	3985
668	8032	3974
669	8046	3963
670	8059	3951
671	8072	3940
672	8086	3928
673	8099	3917
674	8112	3906
675	8125	3894
676	8139	3883
677	8152	3871
678	8166	3860
679	8180	3849
680	8193	3838
681	8208	3827
682	8224	3817
683	8240	3807
684	8254	3795
685	8255	3778
686	8268	3767
687	8281	3755
688	8293	3743
689	8306	3731
690	8318	3719
691	8330	3707
692	8343	3695
693	8355	3684
694	8368	3672
695	8380	3660
696	8393	3648
697	8405	3636
698	8419	3625
699	8431	3613
700	8443	3601
701	8455	3589
702	8467	3577
703	8479	3565
704	8491	3553
705	8503	3541
706	8516	3529
707	8517	3512
708	8528	3500
709	8540	3488
710	8552	3476
711	8564	3464
712	8577	3452
713	8590	3440
714	8592	3424
715	8604	3412
716	8616	3400
717	8628	3388
718	8629	3372
719	8641	3360
720	8652	3348
721	8666	3336
722	8677	3324
723	8690	3312
724	8701	3300
725	8714	3288
726	8715	3272
727	8728	3261
728	8740	3249
729	8751	3237
730	8764	3225
731	8775	3212
732	8789	3201
733	8800	3189
734	8811	3177
735	8823	3164
736	8837	3153
737	8849	3141
738	8862	3129
739	8873	3117
740	8888	3106
741	8901	3095
742	8902	3079
743	8913	3067
744	8925	3055
745	8938	3043
746	8949	3031
747	8961	3018
748	8973	3007
749	8985	2995
750	8997	2983
751	9008	2971
752	9021	2959
753	9032	2946
754	9044	2934
755	9057	2923
756	9069	2911
757	9080	2899
758	9092	2886
759	9104	2875
760	9116	2863
761	9129	2851
762	9142	2839
763	9153	2827
764	9167	2816
765	9178	2803
766	9190	2791
767	9194	2777
768	9206	2765
769	9219	2753
770	9230	2741
771	9243	2729
772	9254	2717
773	9266	2705
774	9278	2693
775	9290	2681
776	9303	2670
777	9315	2658
778	9327	2646
779	9338	2633
780	9351	2622
781	9364	2610
782	9376	2598
783	9389	2586
784	9401	2574
785	9414	2563
786	9425	2551
787	9438	2539
788	9450	2527
789	9463	2515
790	9465	2500
791	9476	2488
792	9488	2476
793	9500	2464
794	9512	2452
795	9524	2441
796	9537	2429
797	9538	2414
798	9550	2402
799	9563	2390
800	9576	2379
801	9587	2367
802	9602	2355
803	9617	2344
804	9629	2332
805	9641	2320
806	9653	2308
807	9665	2296
808	9676	2284
809	9689	2272
810	9702	2261
811	9714	2249
812	9726	2237
813	9738	2225
814	9750	2213
815	9762	2201
816	9774	2189
817	9785	2177
818	9798	2165
819	9810	2153
820	9821	2141
821	9833	2129
822	9845	2117
823	9856	2105
824	9868	2093
825	9881	2081
826	9895	2069
827	9907	2057
828	9919	2046
829	9931	2034
830	9943	2022
831	9954	2010
832	9966	1998
833	9979	1986
834	9991	1974
835	10002	1962
836	10014	1950
837	10025	1938
838	10037	1926
839	10049	1914
840	10061	1902
841	10074	1890
842	10087	1878
843	10099	1866
844	10111	1854
845	10123	1842
846	10134	1830
847	10145	1818
848	10147	1804
849	10159	1792
850	10173	1781
851	10184	1769
852	10196	1757
853	10210	1745
854	10221	1733
855	10234	1721
856	10245	1709
857	10257	1697
858	10269	1685
859	10281	1673
860	10292	1661
861	10304	1649
862	10317	1637
863	10329	1625
864	10341	1613
865	10352	1601
866	10364	1589
867	10375	1577
868	10388	1565
869	10399	1554
870	10411	1541
871	10424	1530
872	10436	1518
873	10448	1506
874	10462	1494
875	10475	1482
876	10487	1470
877	10498	1458
878	10512	1447
879	10525	1435
880	10537	1423
881	10549	1411
882	10563	1399
883	10576	1387
884	10589	1376
885	10604	1364
886	10617	1352
887	10630	1340
888	10642	1328
889	10653	1316
890	10665	1304
891	10678	1292
892	10690	1280
893	10702	1268
894	10713	1256
895	10725	1244
896	10737	1232
897	10748	1220
898	10760	1208
899	10771	1196
900	10782	1184
901	10793	1172
902	10806	1160
903	10818	1148
904	10831	1136
905	10842	1124
906	10854	1112
907	10866	1101
908	10879	1089
909	10892	1077
910	10903	1065
911	10915	1053
912	10928	1041
913	10940	1029
914	10952	1017
915	10964	1005
916	10976	993
917	10988	981
918	11001	969
919	11012	957
920	11024	945
921	11036	933
922	11048	921
923	11059	909
924	11071	897
925	11083	885
926	11095	873
927	11107	861
928	11119	849
929	11132	837
930	11145	826
931	11159	814
932	11172	802
933	11184	790
934	11196	778
935	11209	766
936	11222	754
937	11234	742
938	11247	730
939	11260	718
940	11273	706
941	11285	694
942	11297	682
943	11309	670
944	11322	658
945	11334	646
946	11346	635
947	11358	623
948	11371	611
949	11383	599
950	11396	587
951	11407	575
952	11420	563
953	11433	551
954	11445	539
955	11457	527
956	11469	515
957	11480	503
958	11493	491
959	11505	479
960	11517	467
961	11529	455
962	11540	443
963	11552	431
964	11565	419
965	11579	407
966	11593	395
967	11606	383
968	11618	371
969	11630	359
970	11642	347
971	11654	335
972	11666	323
973	11678	311
974	11690	299
975	11702	287
976	11713	275
977	11726	263
978	11738	251
979	11750	239
980	11762	227
981	11773	215
982	11784	203
983	11796	191
984	11809	179
985	11821	167
986	11832	155
987	11844	143
988	11856	131
989	11869	119
990	11881	107
991	11894	95
992	11905	83
993	11918	71
994	11932	59
995	11945	47
996	11957	35
997	11970	23
998	11982	11
999	11993	0
