iter	Logloss
0	0.6855379566
1	0.6784320614
2	0.6711897798
3	0.6643736364
4	0.658595663
5	0.6524434938
6	0.6464591852
7	0.6401699491
8	0.6338329682
9	0.6278955584
10	0.6220121331
11	0.6163487659
12	0.6110692431
13	0.6055910826
14	0.6004424289
15	0.595579116
16	0.5903572347
17	0.5852333455
18	0.5817443456
19	0.5772265035
20	0.572895363
21	0.5685550447
22	0.5641861986
23	0.5598344645
24	0.5559309836
25	0.5518313791
26	0.5482205884
27	0.5442444104
28	0.5406998041
29	0.5372703477
30	0.5338117983
31	0.5302253082
32	0.5265473494
33	0.5233982913
34	0.5202779751
35	0.5175981461
36	0.5147066496
37	0.5115034002
38	0.5085604099
39	0.5057543677
40	0.5028323458
41	0.5002247166
42	0.4975341373
43	0.4949505672
44	0.4927704756
45	0.4902678905
46	0.4876918492
47	0.4851874973
48	0.4828118371
49	0.4806947356
50	0.4786204636
51	0.4763326525
52	0.4740517473
53	0.4718956653
54	0.4701581546
55	0.4681232011
56	0.4661564087
57	0.464138121
58	0.4622398038
59	0.4602855993
60	0.458566341
61	0.4570456271
62	0.4551919393
63	0.4536862867
64	0.4518582034
65	0.4503095676
66	0.4485576256
67	0.4467211208
68	0.4452513121
69	0.4436627349
70	0.4420890859
71	0.4406594548
72	0.4392128911
73	0.4378276221
74	0.4363823694
75	0.4348216234
76	0.4332287994
77	0.4318906053
78	0.4305563365
79	0.4293898937
80	0.4284681977
81	0.4271948373
82	0.425803273
83	0.4245337207
84	0.4236728461
85	0.4221925393
86	0.4209584129
87	0.419705495
88	0.4186084706
89	0.4174997667
90	0.4163675838
91	0.4155035006
92	0.4143700797
93	0.4138536226
94	0.4127807428
95	0.411879938
96	0.4108315384
97	0.409681595
98	0.4084946405
99	0.4075386442
100	0.4068410727
101	0.4059103216
102	0.4048496522
103	0.4039401522
104	0.4029448278
105	0.4021645695
106	0.4013446936
107	0.4006375106
108	0.3996219802
109	0.398760464
110	0.3978682145
111	0.3968305781
112	0.3963601752
113	0.3956238945
114	0.3947339689
115	0.3936048086
116	0.3932384599
117	0.3923529568
118	0.3915393434
119	0.3907734431
120	0.3900321239
121	0.3891196
122	0.3884836225
123	0.3876694313
124	0.3868852913
125	0.3861052033
126	0.3852078371
